virtual_ts,iso,submitted,flagged,flagged_resolved,catch_rate_pct,failures_resolved,failures_ended_in_window,node_onsets,watch_nodes,n_rendered,rendered,skipped
1664150400,2022-09-26 00:00Z,131,42,0,,0,0,0,3,3,prediction_outcomes|top_flagged_jobs|node_feature_contributions,job_outcome_mix:no_rows|failures_over_time_bars:no_rows|failures_over_time_lines:no_rows|node_risk_watch:degenerate|node_sensor_trace:no_rows
1664157046,2022-09-26 01:50Z,67,38,15,0.0,2,9,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664163692,2022-09-26 03:41Z,44,15,2,0.0,2,10,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664170338,2022-09-26 05:32Z,128,5,2,,0,13,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664176984,2022-09-26 07:23Z,180,46,4,66.7,3,14,1,3,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664183630,2022-09-26 09:13Z,1123,159,49,22.3,157,175,1,3,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664190276,2022-09-26 11:04Z,1580,248,116,37.0,211,231,1,3,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664196923,2022-09-26 12:55Z,1867,272,166,43.4,249,274,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664203569,2022-09-26 14:46Z,2083,501,205,48.7,273,317,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664210215,2022-09-26 16:36Z,1359,470,263,77.3,150,215,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_feature_contributions,node_sensor_trace:no_rows
1664216861,2022-09-26 18:27Z,1175,442,245,76.4,127,259,1,1,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664223507,2022-09-26 20:18Z,1046,332,96,78.6,70,208,2,1,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664230153,2022-09-26 22:09Z,798,243,47,72.5,40,148,2,1,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664236800,2022-09-27 00:00Z,1525,235,47,74.2,31,67,2,1,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664243446,2022-09-27 01:50Z,1175,69,53,100.0,7,106,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664250092,2022-09-27 03:41Z,1094,56,46,100.0,2,121,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664256738,2022-09-27 05:32Z,44,3,0,,0,96,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664263384,2022-09-27 07:23Z,115,22,3,5.6,18,67,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_feature_contributions,node_sensor_trace:no_rows
1664270030,2022-09-27 09:13Z,677,263,47,53.8,65,91,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664276676,2022-09-27 11:04Z,2165,348,96,17.0,352,382,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664283323,2022-09-27 12:55Z,2567,424,140,22.9,401,439,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664289969,2022-09-27 14:46Z,3087,438,179,26.9,412,484,5,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664296615,2022-09-27 16:36Z,2288,288,181,76.2,151,274,5,3,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664303261,2022-09-27 18:27Z,2245,331,239,66.2,231,360,5,3,8,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_sensor_trace|node_feature_contributions,
1664309907,2022-09-27 20:18Z,1425,274,200,66.3,205,426,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664316553,2022-09-27 22:09Z,973,312,132,61.5,135,350,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664323200,2022-09-28 00:00Z,442,183,40,85.7,35,230,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664329846,2022-09-28 01:50Z,275,157,19,83.3,18,62,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664336492,2022-09-28 03:41Z,99,4,2,50.0,2,18,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664343138,2022-09-28 05:32Z,81,5,1,0.0,1,34,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664349784,2022-09-28 07:23Z,146,24,12,75.0,8,56,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_feature_contributions,node_sensor_trace:no_rows
1664356430,2022-09-28 09:13Z,628,158,101,62.9,105,212,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664363076,2022-09-28 11:04Z,1058,310,197,53.4,238,359,0,3,6,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_feature_contributions,node_risk_watch:degenerate|node_sensor_trace:no_rows
1664369723,2022-09-28 12:55Z,1497,561,398,67.2,467,593,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_feature_contributions,node_sensor_trace:no_rows
1664376369,2022-09-28 14:46Z,1749,611,431,72.1,499,591,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664383015,2022-09-28 16:36Z,1500,613,420,78.1,439,521,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664389661,2022-09-28 18:27Z,1139,370,256,76.8,237,338,1,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664396307,2022-09-28 20:18Z,657,228,142,70.4,108,172,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_risk_watch|node_feature_contributions,node_sensor_trace:no_rows
1664402953,2022-09-28 22:09Z,748,149,88,60.3,73,232,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
1664409600,2022-09-29 00:00Z,480,70,47,51.4,37,262,0,3,7,prediction_outcomes|job_outcome_mix|failures_over_time_bars|failures_over_time_lines|top_flagged_jobs|node_sensor_trace|node_feature_contributions,node_risk_watch:degenerate
